Nickname,İsim Soyisim,Email,Şifre,Yaş,Şarkı Türü,Şarkı Duygusu,Ne Yaparken Dinlediği,Geçmiş Şarkıları
sedkor1,Seda Korkmaz,sedkor1@musicapp.com,seda2966!,28,french rap,Üzüntü,Uyumadan önce,Filthy; Round Midnight; A Lovely Night
gamtur13,Gamze Turan,gamtur13@musicapp.com,gamze5376!,27,rock,Savaş,Yürürken,Heroes; Forbidden; !Lost!
okaözt14,Okan Öztürk,okaözt14@musicapp.com,okan7549!,30,punk,Enerji,Arabada,!Lost!; Forbidden; Blue Flame
ayşboz15,Ayşe Bozkurt,ayşboz15@musicapp.com,ayşe5031!,24,crunk,Sakinlik,Oyun oynarken,Blue Flame; Round Midnight; Heroes
onugök16,Onur Gökmen,onugök16@musicapp.com,onur6524!,22,mexican indie,Enerji,Uyumadan önce,!Lost!; Forbidden; Heroes
eylavc17,Eylül Avcı,eylavc17@musicapp.com,eylül7423!,36,mexican indie,Korku,Ders çalışırken,40; !Lost!; Forbidden
cantur18,Caner Turan,cantur18@musicapp.com,caner6213!,23,big band,Savaş,Ders çalışırken,A Lovely Night; !Lost!; Boom
umuözt19,Umut Öztürk,umuözt19@musicapp.com,umut5075!,39,art pop,Enerji,Ders çalışırken,!Lost!; Blue Flame; Round Midnight
furbul20,Furkan Bulut,furbul20@musicapp.com,furkan6439!,30,clasic rock,Korku,Ders çalışırken,$20 Mints; Heroes; Boom
cerkal21,Ceren Kalkan,cerkal21@musicapp.com,ceren1923!,32,j-pop,Sakinlik,Ders çalışırken,Heroes; 40; Blue Flame
bortos22,Bora Tosun,bortos22@musicapp.com,bora1492!,35,baroque pop,Savaş,Oyun oynarken,$20 Mints; Blue Flame; Heroes
onugün23,Onur Güneş,onugün23@musicapp.com,onur6564!,34,singer-songwriter,Enerji,Uyumadan önce,Round Midnight; Filthy; Boom
bahkor24,Bahar Korkmaz,bahkor24@musicapp.com,bahar8238!,31,indie folk,Üzüntü,Arabada,Round Midnight; Filthy; Forbidden
selkor25,Selin Korkmaz,selkor25@musicapp.com,selin6242!,20,classic blues,Aşk,Dinlenirken,40; Forbidden; Heroes
oğutur26,Oğuz Turan,oğutur26@musicapp.com,oğuz9857!,33,blues,Sakinlik,Arabada,Blue Flame; Round Midnight; Forbidden
ahmboz27,Ahmet Bozkurt,ahmboz27@musicapp.com,ahmet6284!,29,gangster rap,Savaş,Dinlenirken,$20 Mints; A Lovely Night; Forbidden
korasl28,Koray Aslan,korasl28@musicapp.com,koray7981!,36,indie folk,Savaş,Arabada,Round Midnight; Filthy; 40
ardyav29,Arda Yavuz,ardyav29@musicapp.com,arda9045!,28,melodic hardcore,Enerji,Yemek yaparken,Forbidden; Blue Flame; 40
oğukay30,Oğuz Kaya,oğukay30@musicapp.com,oğuz4694!,24,glam rock,Korku,Dinlenirken,A Lovely Night; Heroes; Round Midnight
dengök31,Deniz Gökmen,dengök31@musicapp.com,deniz6732!,40,dembow,Korku,Spor yaparken,Forbidden; 40; Round Midnight
cankor32,Caner Korkmaz,cankor32@musicapp.com,caner1524!,25,glam rock,Aşk,Oyun oynarken,Filthy; Boom; Heroes
eylerg33,Eylül Ergin,eylerg33@musicapp.com,eylül3721!,34,j-pop,Enerji,Ders çalışırken,Forbidden; Boom; !Lost!
okakur34,Okan Kurtuluş,okakur34@musicapp.com,okan3904!,26,underground hip hop,Savaş,Spor yaparken,Heroes; 40; Blue Flame
onukar35,Onur Kara,onukar35@musicapp.com,onur3732!,37,southern hip hop,Sakinlik,Yemek yaparken,Blue Flame; $20 Mints; A Lovely Night
eylpol36,Eylül Polat,eylpol36@musicapp.com,eylül9724!,40,art pop,Mutluluk,Ders çalışırken,!Lost!; Round Midnight; 40
gamars37,Gamze Arslan,gamars37@musicapp.com,gamze4084!,37,big band,Aşk,Yürürken,Blue Flame; Boom; Forbidden
berasl38,Berk Aslan,berasl38@musicapp.com,berk4998!,30,japanese vgm,Üzüntü,Oyun oynarken,Forbidden; Filthy; $20 Mints
pelerg39,Pelin Ergin,pelerg39@musicapp.com,pelin1072!,20,baroque pop,Enerji,Dinlenirken,$20 Mints; Filthy; A Lovely Night
yuskar40,Yusuf Kara,yuskar40@musicapp.com,yusuf9559!,28,clasic rock,Üzüntü,Arabada,$20 Mints; Heroes; A Lovely Night
nisasl41,Nisa Aslan,nisasl41@musicapp.com,nisa5392!,26,avant-garde,Aşk,Oyun oynarken,!Lost!; $20 Mints; Blue Flame
caneke42,Caner Eker,caneke42@musicapp.com,caner9929!,22,screamo,Mutluluk,Oyun oynarken,Boom; Blue Flame; 40
büşavc43,Büşra Avcı,büşavc43@musicapp.com,büşra9862!,19,blues,Aşk,Uyumadan önce,Boom; Forbidden; $20 Mints
bartür44,Baran Türkmen,bartür44@musicapp.com,baran4509!,35,children's music,Savaş,Dinlenirken,Blue Flame; !Lost!; Boom
melgök45,Melisa Gökmen,melgök45@musicapp.com,melisa7812!,38,country,Mutluluk,Yemek yaparken,Round Midnight; Heroes; 40
nazşah46,Nazlı Şahin,nazşah46@musicapp.com,nazlı1767!,27,stoner rock,Sakinlik,Arabada,Heroes; Forbidden; Blue Flame
zeykor47,Zeynep Korkmaz,zeykor47@musicapp.com,zeynep9149!,21,underground hip hop,Üzüntü,Oyun oynarken,Blue Flame; 40; Boom
tolboz48,Tolga Bozkurt,tolboz48@musicapp.com,tolga1259!,25,italo dance,Mutluluk,Arabada,A Lovely Night; !Lost!; Blue Flame
nilayd49,Nil Aydın,nilayd49@musicapp.com,nil2680!,27,anime,Korku,Dinlenirken,Round Midnight; A Lovely Night; 40
oğuaks50,Oğuz Aksoy,oğuaks50@musicapp.com,oğuz2132!,19,french rap,Üzüntü,Arabada,Blue Flame; Boom; Round Midnight
kordum51,Koray Duman,kordum51@musicapp.com,koray2391!,34,noise rock,Korku,Arabada,A Lovely Night; $20 Mints; Heroes
nilgün52,Nil Güneş,nilgün52@musicapp.com,nil6129!,24,noise rock,Korku,Ders çalışırken,Forbidden; !Lost!; Blue Flame
tolyıl53,Tolga Yılmaz,tolyıl53@musicapp.com,tolga2962!,32,children's music,Mutluluk,Arabada,Boom; 40; $20 Mints
ecebul54,Ece Bulut,ecebul54@musicapp.com,ece6055!,18,math rock,Korku,Oyun oynarken,Forbidden; 40; Filthy
seltür55,Selin Türkmen,seltür55@musicapp.com,selin8425!,22,psychedelic rock,Aşk,Dinlenirken,!Lost!; Heroes; Boom
selyav56,Selin Yavuz,selyav56@musicapp.com,selin6210!,40,post-hardcore,Mutluluk,Ders çalışırken,Round Midnight; A Lovely Night; Boom
ardtos57,Arda Tosun,ardtos57@musicapp.com,arda8630!,28,singer-songwriter,Sakinlik,Oyun oynarken,Boom; Blue Flame; Heroes
barkur58,Baran Kurtuluş,barkur58@musicapp.com,baran5266!,34,baroque pop,Üzüntü,Yürürken,Heroes; Filthy; Round Midnight
eceyıl59,Ece Yılmaz,eceyıl59@musicapp.com,ece3664!,26,musicals,Enerji,Arabada,Blue Flame; Round Midnight; 40
hakgün60,Hakan Güneş,hakgün60@musicapp.com,hakan5171!,18,math rock,Savaş,Oyun oynarken,Blue Flame; 40; Filthy
emrkay61,Emre Kaya,emrkay61@musicapp.com,emre8515!,36,french rap,Üzüntü,Arabada,Blue Flame; Round Midnight; $20 Mints
siberd62,Sibel Erdoğan,siberd62@musicapp.com,sibel7928!,39,clasic rock,Sakinlik,Dinlenirken,Heroes; 40; Boom
derars63,Derya Arslan,derars63@musicapp.com,derya6328!,36,melodic hardcore,Aşk,Yemek yaparken,Heroes; Forbidden; $20 Mints
sedözt64,Seda Öztürk,sedözt64@musicapp.com,seda9797!,34,country,Üzüntü,Ders çalışırken,Heroes; !Lost!; Round Midnight
kertos65,Kerem Tosun,kertos65@musicapp.com,kerem5618!,18,baroque pop,Aşk,Ders çalışırken,Blue Flame; A Lovely Night; Filthy
dentur66,Deniz Turan,dentur66@musicapp.com,deniz6461!,36,visual kei,Savaş,Ders çalışırken,!Lost!; Filthy; 40
borkay67,Bora Kaya,borkay67@musicapp.com,bora4943!,39,musicals,Üzüntü,Oyun oynarken,Filthy; Boom; Blue Flame
sinkur68,Sinem Kurtuluş,sinkur68@musicapp.com,sinem3035!,30,post-hardcore,Aşk,Yemek yaparken,Heroes; 40; A Lovely Night
aslkal69,Aslı Kalkan,aslkal69@musicapp.com,aslı7845!,23,gangster rap,Mutluluk,Oyun oynarken,!Lost!; $20 Mints; Filthy
rabgök70,Rabia Gökmen,rabgök70@musicapp.com,rabia6205!,22,baroque pop,Sakinlik,Oyun oynarken,Forbidden; Boom; $20 Mints
gamçel71,Gamze Çelik,gamçel71@musicapp.com,gamze7438!,21,indie folk,Enerji,Yürürken,Boom; Round Midnight; Heroes
raberd72,Rabia Erdem,raberd72@musicapp.com,rabia1211!,32,clasic rock,Savaş,Ders çalışırken,Blue Flame; Round Midnight; !Lost!
asltur73,Aslı Turan,asltur73@musicapp.com,aslı8921!,40,big band,Savaş,Ders çalışırken,Blue Flame; Filthy; Boom
gamdem74,Gamze Demir,gamdem74@musicapp.com,gamze5783!,24,anime,Mutluluk,Yemek yaparken,A Lovely Night; !Lost!; Round Midnight
barayd75,Baran Aydın,barayd75@musicapp.com,baran6757!,30,french rap,Üzüntü,Uyumadan önce,Forbidden; !Lost!; 40
eceaks76,Ece Aksoy,eceaks76@musicapp.com,ece8124!,38,musicals,Korku,Spor yaparken,!Lost!; Filthy; Blue Flame
cerdem77,Ceren Demir,cerdem77@musicapp.com,ceren8339!,20,psychedelic rock,Aşk,Yemek yaparken,Filthy; !Lost!; Forbidden
hakavc78,Hakan Avcı,hakavc78@musicapp.com,hakan3259!,32,j-pop,Korku,Yürürken,Heroes; $20 Mints; Boom
naztaş79,Nazlı Taş,naztaş79@musicapp.com,nazlı9351!,20,mexican indie,Korku,Arabada,!Lost!; Boom; A Lovely Night
oğugök80,Oğuz Gökmen,oğugök80@musicapp.com,oğuz5936!,38,screamo,Savaş,Arabada,Boom; Blue Flame; Round Midnight
emrpol81,Emre Polat,emrpol81@musicapp.com,emre4457!,19,j-pop,Aşk,Dinlenirken,A Lovely Night; 40; Forbidden
nisars82,Nisa Arslan,nisars82@musicapp.com,nisa2466!,40,country,Enerji,Spor yaparken,Blue Flame; Filthy; Forbidden
furtür83,Furkan Türkmen,furtür83@musicapp.com,furkan8431!,24,avant-garde,Savaş,Spor yaparken,Boom; A Lovely Night; Filthy
ardboz84,Arda Bozkurt,ardboz84@musicapp.com,arda2660!,20,metalcore,Savaş,Arabada,Heroes; Round Midnight; A Lovely Night
furerd85,Furkan Erdoğan,furerd85@musicapp.com,furkan1633!,36,country,Mutluluk,Ders çalışırken,Blue Flame; !Lost!; Heroes
certür86,Ceren Türkmen,certür86@musicapp.com,ceren9960!,38,emo,Aşk,Spor yaparken,Forbidden; Heroes; Filthy
hakkur87,Hakan Kurtuluş,hakkur87@musicapp.com,hakan1656!,28,j-pop,Savaş,Spor yaparken,Blue Flame; !Lost!; $20 Mints
melkar88,Melisa Kara,melkar88@musicapp.com,melisa7872!,19,country,Korku,Ders çalışırken,40; Filthy; Blue Flame
emrdum89,Emre Duman,emrdum89@musicapp.com,emre4241!,21,anime,Aşk,Yürürken,Heroes; Boom; Blue Flame
zeyayd90,Zeynep Aydın,zeyayd90@musicapp.com,zeynep5026!,32,crunk,Korku,Yürürken,Filthy; $20 Mints; Forbidden
yuskal91,Yusuf Kalkan,yuskal91@musicapp.com,yusuf5583!,39,glam rock,Mutluluk,Yürürken,A Lovely Night; 40; !Lost!
ahmavc92,Ahmet Avcı,ahmavc92@musicapp.com,ahmet6640!,35,emo,Üzüntü,Oyun oynarken,Round Midnight; Blue Flame; Heroes
eylaca93,Eylül Acar,eylaca93@musicapp.com,eylül1459!,19,christmas,Korku,Yemek yaparken,Heroes; $20 Mints; Filthy
nilerg94,Nil Ergin,nilerg94@musicapp.com,nil1457!,22,metalcore,Savaş,Oyun oynarken,Filthy; !Lost!; 40
selars95,Selin Arslan,selars95@musicapp.com,selin5813!,33,anime,Korku,Uyumadan önce,Round Midnight; Filthy; $20 Mints
sedboz96,Seda Bozkurt,sedboz96@musicapp.com,seda5220!,27,japanese vgm,Üzüntü,Yürürken,Boom; Heroes; Round Midnight
tolşah97,Tolga Şahin,tolşah97@musicapp.com,tolga3101!,18,musicals,Üzüntü,Oyun oynarken,$20 Mints; Forbidden; Blue Flame
aylerd98,Aylin Erdem,aylerd98@musicapp.com,aylin4099!,22,musicals,Üzüntü,Yemek yaparken,40; !Lost!; A Lovely Night
eligök99,Elif Gökmen,eligök99@musicapp.com,elif7146!,35,blues,Korku,Yürürken,Round Midnight; !Lost!; Forbidden
koraca100,Koray Acar,koraca100@musicapp.com,koray3746!,26,dembow,Enerji,Yürürken,Blue Flame; Filthy; Heroes
